filepath,filename,genus,species,species_only,sex,strain,image_id,strain_applicable,species_id,sex_id,strain_id,split
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0023.jpg,aedes_aegypti_m_NEWORLEANS_image0023.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0023,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_atroparvus_f_EBRO_image0015.jpg,anopheles_atroparvus_f_EBRO_image0015.jpg,anopheles,anopheles_atroparvus,atroparvus,female,EBRO,image0015,False,3,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0132.jpg,aedes_aegypti_f_NEWORLEANS_image0132.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0132,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0088.jpg,anopheles_arabiensis_f_DONGOLA_image0088.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0088,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_f_FAR1_image0011.jpg,anopheles_farauti_f_FAR1_image0011.jpg,anopheles,anopheles_farauti,farauti,female,FAR1,image0011,False,5,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0059.jpg,anopheles_arabiensis_m_DONGOLA_image0059.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0059,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0037.jpg,aedes_aegypti_f_NEWORLEANS_image0037.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0037,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0035.jpg,aedes_aegypti_m_NEWORLEANS_image0035.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0035,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0065.jpg,aedes_aegypti_f_NEWORLEANS_image0065.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0065,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_m_F1_image0051.jpg,anopheles_freeborni_m_F1_image0051.jpg,anopheles,anopheles_freeborni,freeborni,male,F1,image0051,False,6,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0066.jpg,aedes_aegypti_m_NEWORLEANS_image0066.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0066,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0126.jpg,anopheles_arabiensis_f_DONGOLA_image0126.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0126,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_f_FAR1_image0001.jpg,anopheles_farauti_f_FAR1_image0001.jpg,anopheles,anopheles_farauti,farauti,female,FAR1,image0001,False,5,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_m_F1_image0007.jpg,anopheles_freeborni_m_F1_image0007.jpg,anopheles,anopheles_freeborni,freeborni,male,F1,image0007,False,6,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0080.jpg,aedes_aegypti_f_NEWORLEANS_image0080.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0080,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0042.jpg,anopheles_arabiensis_f_DONGOLA_image0042.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0042,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0031.jpg,anopheles_arabiensis_m_DONGOLA_image0031.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0031,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0035.jpg,anopheles_arabiensis_m_DONGOLA_image0035.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0035,False,2,1,-1,train
